RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type
"10738615","","Playboi Carti","","","Whole Lotta Red","2020","7","n","",""
"9113487","","Diplo","","","Wish","2018","7","n","",""
"3602159","","Danny Brown","","","XXX","2011","8","n","",""
"8718789","","Childish Gambino","","","Yaphet Kotto (Freestyle)","2013","10","n","",""
"13506304","","nakanoiseバンド","","","オトメノ祈リ","2014","6","n","",""
"846780","","Eastern Youth","","","感受性応答セヨ (Kanjusei ōtō seyo)","2001","7","n","",""
"361118","","王菲 [Faye Wong]","","","浮躁 (Fúzào)","1996","6","n","",""
"7557811","","Panchiko","","","D>E>A>T>H>M>E>T>A>L","2000","7","n","",""
"7497286","","Pusha T","","","Nosetalgia","2014","8","n","",""
"13258194","","Saint Pepsi","","","Private Caller","2013","9","n","",""
"4602306","","Various Artists","","","mikgazer vol.1","2012","8","n","",""
"692244","","Walrus","","","20012002","2003","6","n","",""
"406610","Kanye","West","","","Heard 'Em Say","2005","9","n","",""
"14136440","","いよわ","","iyowa","わたしのヘリテージ (Watashi no Heritage)","2021","5","n","",""
"4308540","","きのこ帝国","","Kinoko Teikoku","Eureka","2013","7","n","",""
"8928591","","輕描淡寫","","Understatement","小圈子","2018","6","n","",""
"3525210","","透明雜誌","","Touming Magazine","我們的靈魂樂","2010","6","n","",""
